category_tree,color,country_code,county_of_origin,currency,description,delivery,domain,features,final_price,image_count,image_urls,in_stock,initial_price,main_image,manufacturer,offers,people_bought_together,product_name,reviews_count,related_products,seller_name,size,top_reviews,url,product_code,brand,category,category_url
"[{""name"":""HM.com"",""url"":""https://www2.hm.com/en_us/index.html""},{""name"":""Home"",""url"":""https://www2.hm.com/en_us/home.html""},{""name"":""Lighting"",""url"":""https://www2.hm.com/en_us/home/products/lighting.html""},{""name"":""Lamp Shades"",""url"":""https://www2.hm.com/en_us/home/products/lighting/lamp-shades.html""}]","Dark orange","US","Sweden","USD","Pleated lampshade in painted metal and linen. For use with a lamp base. Cord set for hanging not included. Diameter at top 2 3/4 in. Height 6 3/4 in. Diameter at lower edge 13 1/2 in.","[""Furniture, shelving, lighting & area rugs can only be shipped via standard shipping within the continental US. Orders placed using any other method or outside the continental US will be canceled and a refund will be issued. Members with Plus status get free online returns. SHIPPING: Shipping is available to customers at least 13 years of age with a valid US shipping and billing address. H&M HOME furniture, shelving, lighting and area rugs can only be shipped via standard shipping. Orders placed using any other method will be cancelled and a refund will be issued. PAYMENT: We accept card payments via Visa, Apple Pay, MasterCard, Discover and American Express. You can also pay with Klarna's flexible payment options, PayPal and H&M Gift Cards. Learn more on our customer service pages.""]","www2.hm.com","null","""$34.99""",3,"[""https://image.hm.com/assets/hm/09/a7/09a737bda834d7b9ae9c0635e797291e1d9ff9a7.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/24/0b/240b21a320c4663d72040b93816e1910a157de93.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/24/0b/240b21a320c4663d72040b93816e1910a157de93.jpg?imwidth=2160""]",true,"""$34.99""","https://image.hm.com/assets/hm/09/a7/09a737bda834d7b9ae9c0635e797291e1d9ff9a7.jpg?imwidth=2160","H&M","[""https://www2.hm.com/en_us/productpage.1118146009.html""]","null","Pleated Lampshade",4.9,"null","H&M","","null","https://www2.hm.com/en_us/productpage.1118146009.html","1118146009","H&M","Lamp Shades","https://www2.hm.com/en_us/home/products/lighting/lamp-shades.html"
"[{""name"":""HM.com"",""url"":""https://www2.hm.com/en_us/index.html""},{""name"":""Home"",""url"":""https://www2.hm.com/en_us/home.html""},{""name"":""Lighting"",""url"":""https://www2.hm.com/en_us/home/products/lighting.html""},{""name"":""Lamp Shades"",""url"":""https://www2.hm.com/en_us/home/products/lighting/lamp-shades.html""}]","Dark green","US","Sweden","USD","Pleated lampshade in painted metal and linen. For use with a lamp base. Cord set for hanging not included. Diameter at top 2 3/4 in. Height 6 3/4 in. Diameter at lower edge 13 1/2 in.","[""Furniture, shelving, lighting & area rugs can only be shipped via standard shipping within the continental US. Orders placed using any other method or outside the continental US will be canceled and a refund will be issued. Members with Plus status get free online returns. SHIPPING: Shipping is available to customers at least 13 years of age with a valid US shipping and billing address. H&M HOME furniture, shelving, lighting and area rugs can only be shipped via standard shipping. Orders placed using any other method will be cancelled and a refund will be issued. PAYMENT: We accept card payments via Visa, Apple Pay, MasterCard, Discover and American Express. You can also pay with Klarna's flexible payment options, PayPal and H&M Gift Cards. Learn more on our customer service pages.""]","www2.hm.com","null","""$34.99""",9,"[""https://image.hm.com/assets/hm/87/4f/874f475e118e261f3061187a61b78b898e46da3b.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/e8/d0/e8d08bb363ca4ff119b656e4f152946e3e1d5535.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/e8/d0/e8d08bb363ca4ff119b656e4f152946e3e1d5535.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/cf/bd/cfbdc305a919a834cea3e0b3ca700b0c45396fca.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/cf/bd/cfbdc305a919a834cea3e0b3ca700b0c45396fca.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/af/c9/afc9229e626232d0cc95fa9d08e89e0ce1a74c23.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/af/c9/afc9229e626232d0cc95fa9d08e89e0ce1a74c23.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/c6/5e/c65e5e7453adb61b9edf9e5b74793374ea5b5857.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/c6/5e/c65e5e7453adb61b9edf9e5b74793374ea5b5857.jpg?imwidth=2160""]",true,"""$34.99""","https://image.hm.com/assets/hm/87/4f/874f475e118e261f3061187a61b78b898e46da3b.jpg?imwidth=2160","H&M","[""https://www2.hm.com/en_us/productpage.1118146003.html""]","null","Pleated Lampshade",4.9,"null","H&M","","null","https://www2.hm.com/en_us/productpage.1118146003.html","1118146003","H&M","Lamp Shades","https://www2.hm.com/en_us/home/products/lighting/lamp-shades.html"
"[{""name"":""HM.com"",""url"":""https://www2.hm.com/en_us/index.html""},{""name"":""Home"",""url"":""https://www2.hm.com/en_us/home.html""},{""name"":""Lighting"",""url"":""https://www2.hm.com/en_us/home/products/lighting.html""},{""name"":""Lamp Shades"",""url"":""https://www2.hm.com/en_us/home/products/lighting/lamp-shades.html""}]","Green","US","Sweden","USD","Pleated lampshade in painted metal and linen. For use with a lamp base. Cord set for hanging not included. Diameter at top 2 3/4 in. Height 6 3/4 in. Diameter at lower edge 13 1/2 in.","[""Furniture, shelving, lighting & area rugs can only be shipped via standard shipping within the continental US. Orders placed using any other method or outside the continental US will be canceled and a refund will be issued. Members with Plus status get free online returns. SHIPPING: Shipping is available to customers at least 13 years of age with a valid US shipping and billing address. H&M HOME furniture, shelving, lighting and area rugs can only be shipped via standard shipping. Orders placed using any other method will be cancelled and a refund will be issued. PAYMENT: We accept card payments via Visa, Apple Pay, MasterCard, Discover and American Express. You can also pay with Klarna's flexible payment options, PayPal and H&M Gift Cards. Learn more on our customer service pages.""]","www2.hm.com","null","""$34.99""",5,"[""https://image.hm.com/assets/hm/0e/ce/0ece8637f312f507431fd789359f218c7725c3ac.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/e3/51/e35184f31d140917351166729171e8c6bc105163.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/e3/51/e35184f31d140917351166729171e8c6bc105163.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/d9/28/d928f4feab3b8dba16908940030322bb22724c97.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/d9/28/d928f4feab3b8dba16908940030322bb22724c97.jpg?imwidth=2160""]",true,"""$34.99""","https://image.hm.com/assets/hm/0e/ce/0ece8637f312f507431fd789359f218c7725c3ac.jpg?imwidth=2160","H&M","[""https://www2.hm.com/en_us/productpage.1118146008.html""]","null","Pleated Lampshade",4.9,"null","H&M","","null","https://www2.hm.com/en_us/productpage.1118146008.html","1118146008","H&M","Lamp Shades","https://www2.hm.com/en_us/home/products/lighting/lamp-shades.html"
"[{""name"":""HM.com"",""url"":""https://www2.hm.com/en_us/index.html""},{""name"":""Home"",""url"":""https://www2.hm.com/en_us/home.html""},{""name"":""Lighting"",""url"":""https://www2.hm.com/en_us/home/products/lighting.html""},{""name"":""Lamp Shades"",""url"":""https://www2.hm.com/en_us/home/products/lighting/lamp-shades.html""}]","White","US","Sweden","USD","Pleated lampshade in painted metal and linen. For use with a lamp base. Cord set for hanging not included. Diameter at top 2 3/4 in. Height 6 3/4 in. Diameter at lower edge 13 1/2 in.","[""Furniture, shelving, lighting & area rugs can only be shipped via standard shipping within the continental US. Orders placed using any other method or outside the continental US will be canceled and a refund will be issued. Members with Plus status get free online returns. SHIPPING: Shipping is available to customers at least 13 years of age with a valid US shipping and billing address. H&M HOME furniture, shelving, lighting and area rugs can only be shipped via standard shipping. Orders placed using any other method will be cancelled and a refund will be issued. PAYMENT: We accept card payments via Visa, Apple Pay, MasterCard, Discover and American Express. You can also pay with Klarna's flexible payment options, PayPal and H&M Gift Cards. Learn more on our customer service pages.""]","www2.hm.com","null","""$34.99""",11,"[""https://image.hm.com/assets/hm/1a/fc/1afc32f4e05dea134f12fd85b72f4987f344053e.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/19/ad/19ad0469a67f02e27a4f6f0978295415cc53f7ca.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/19/ad/19ad0469a67f02e27a4f6f0978295415cc53f7ca.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/2b/0c/2b0cc0d93ae82564d59b63bb20c95ed2eb43c0b9.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/2b/0c/2b0cc0d93ae82564d59b63bb20c95ed2eb43c0b9.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/62/14/6214783d8afd315c8454d2480887bbcf39862fa6.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/62/14/6214783d8afd315c8454d2480887bbcf39862fa6.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/1c/64/1c64820659b848d380be561d5827a467fa6ffe7f.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/1c/64/1c64820659b848d380be561d5827a467fa6ffe7f.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/33/e5/33e56b57c75022e9cff113bf5dd28a25adaf4025.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/33/e5/33e56b57c75022e9cff113bf5dd28a25adaf4025.jpg?imwidth=2160""]",true,"""$34.99""","https://image.hm.com/assets/hm/1a/fc/1afc32f4e05dea134f12fd85b72f4987f344053e.jpg?imwidth=2160","H&M","[""https://www2.hm.com/en_us/productpage.1118146001.html""]","null","Pleated Lampshade",4.9,"null","H&M","","null","https://www2.hm.com/en_us/productpage.1118146001.html","1118146001","H&M","Lamp Shades","https://www2.hm.com/en_us/home/products/lighting/lamp-shades.html"
"[{""name"":""HM.com"",""url"":""https://www2.hm.com/en_us/index.html""},{""name"":""Home"",""url"":""https://www2.hm.com/en_us/home.html""},{""name"":""Bedding & Blankets"",""url"":""https://www2.hm.com/en_us/home/products/bedding.html""},{""name"":""Duvet Cover Sets"",""url"":""https://www2.hm.com/en_us/home/products/bedding/duvet-covers.html""}]","Dark green","US","Sweden","USD","King/queen duvet cover set in woven cotton fabric. Two pillowcases with envelope opening. Thread count 144. You too can help the environment and make fashion more sustainable. Bring unwanted clothes or home textiles to any H&M store and they will be reworn, reused or recycled. Tumble dry medium Only non-chlorine bleach when needed Machine wash warm Wash with like colors High iron Can be dry cleaned","[""Furniture, shelving, lighting & area rugs can only be shipped via standard shipping within the continental US. Orders placed using any other method or outside the continental US will be canceled and a refund will be issued. Members with Plus status get free online returns. SHIPPING: Shipping is available to customers at least 13 years of age with a valid US shipping and billing address. H&M HOME furniture, shelving, lighting and area rugs can only be shipped via standard shipping. Orders placed using any other method will be cancelled and a refund will be issued. PAYMENT: We accept card payments via Visa, Apple Pay, MasterCard, Discover and American Express. You can also pay with Klarna's flexible payment options, PayPal and H&M Gift Cards. Learn more on our customer service pages.""]","www2.hm.com","null","""$44.99""",7,"[""https://image.hm.com/assets/hm/f4/02/f402d78a3d15fd017237fc167c209278cece4f25_xxl-1.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/4b/d1/4bd179e0b38b3beafc5eb67feefd3017fc7e08e2.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/4b/d1/4bd179e0b38b3beafc5eb67feefd3017fc7e08e2.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/28/2c/282c222a28896309521495671274222cc3b2683b.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/28/2c/282c222a28896309521495671274222cc3b2683b.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/07/6b/076b3c8293e8b4dd8e38f5848ac8f83dcf099fe0.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/07/6b/076b3c8293e8b4dd8e38f5848ac8f83dcf099fe0.jpg?imwidth=2160""]",true,"""$44.99""","https://image.hm.com/assets/hm/f4/02/f402d78a3d15fd017237fc167c209278cece4f25_xxl-1.jpg?imwidth=2160","H&M","[""https://www2.hm.com/en_us/productpage.0496279051.html"",""https://www2.hm.com/en_us/productpage.0496279051.html""]","null","Cotton King/Queen Duvet Cover Set",4.1,"null","H&M","","null","https://www2.hm.com/en_us/productpage.0496279051.html","0496279051","H&M","Duvet Cover Sets","https://www2.hm.com/en_us/home/products/bedding/duvet-covers.html"
"[{""name"":""HM.com"",""url"":""https://www2.hm.com/en_us/index.html""},{""name"":""Home"",""url"":""https://www2.hm.com/en_us/home.html""},{""name"":""Bedding & Blankets"",""url"":""https://www2.hm.com/en_us/home/products/bedding.html""},{""name"":""Pillowcases"",""url"":""https://www2.hm.com/en_us/home/products/bedding/pillow-cases.html""}]","Gray","US","Sweden","USD","Pillowcase in soft, washed linen for comfortable sleep. Thread count 104. Linen is a durable, long-lasting fabric which, with proper care, will become softer and more attractive with every wash. Linen bedding is a good choice for those who struggle with overheating, as the material absorbs moisture for a cool and comfortable sleeping environment. You too can help the environment and make fashion more sustainable. Bring unwanted clothes or home textiles to any H&M store and they will be reworn, reused or recycled. Tumble dry medium Only non-chlorine bleach when needed Machine wash warm High iron Can be dry cleaned","[""Furniture, shelving, lighting & area rugs can only be shipped via standard shipping within the continental US. Orders placed using any other method or outside the continental US will be canceled and a refund will be issued. Members with Plus status get free online returns. SHIPPING: Shipping is available to customers at least 13 years of age with a valid US shipping and billing address. H&M HOME furniture, shelving, lighting and area rugs can only be shipped via standard shipping. Orders placed using any other method will be cancelled and a refund will be issued. PAYMENT: We accept card payments via Visa, Apple Pay, MasterCard, Discover and American Express. You can also pay with Klarna's flexible payment options, PayPal and H&M Gift Cards. Learn more on our customer service pages.""]","www2.hm.com","null","""$19.99""",5,"[""https://image.hm.com/assets/hm/10/e3/10e30181eafa1ca78dcf7ec33fabcd7999979b68.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/94/8b/948b329b9ebd778d7611c7e52c3ed800e587e70a.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/94/8b/948b329b9ebd778d7611c7e52c3ed800e587e70a.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/67/1a/671aafe47eea85289543f4503ec64365f6648b06.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/67/1a/671aafe47eea85289543f4503ec64365f6648b06.jpg?imwidth=2160""]",true,"""$19.99""","https://image.hm.com/assets/hm/10/e3/10e30181eafa1ca78dcf7ec33fabcd7999979b68.jpg?imwidth=2160","H&M","[""https://www2.hm.com/en_us/productpage.0107713060.html""]","null","Washed Linen Pillowcase",4.7,"null","H&M","","null","https://www2.hm.com/en_us/productpage.0107713060.html","0107713060","H&M","Pillowcases","https://www2.hm.com/en_us/home/products/bedding/pillow-cases.html"
"[{""name"":""HM.com"",""url"":""https://www2.hm.com/en_us/index.html""},{""name"":""Home"",""url"":""https://www2.hm.com/en_us/home.html""},{""name"":""Cooking & Dining"",""url"":""https://www2.hm.com/en_us/home/products/cooking-dining.html""},{""name"":""Tablecloths & Runners"",""url"":""https://www2.hm.com/en_us/home/products/cooking-dining/table-cloth-runners.html""}]","Light beige/patterned","US","Sweden","USD","Tablecloth in a woven cotton blend with a printed pattern. You too can help the environment and make fashion more sustainable. Bring unwanted clothes or home textiles to any H&M store and they will be reworn, reused or recycled. Tumble dry medium Only non-chlorine bleach when needed Machine wash warm High iron Can be dry cleaned","[""Furniture, shelving, lighting & area rugs can only be shipped via standard shipping within the continental US. Orders placed using any other method or outside the continental US will be canceled and a refund will be issued. Members with Plus status get free online returns. SHIPPING: Shipping is available to customers at least 13 years of age with a valid US shipping and billing address. H&M HOME furniture, shelving, lighting and area rugs can only be shipped via standard shipping. Orders placed using any other method will be cancelled and a refund will be issued. PAYMENT: We accept card payments via Visa, Apple Pay, MasterCard, Discover and American Express. You can also pay with Klarna's flexible payment options, PayPal and H&M Gift Cards. Learn more on our customer service pages.""]","www2.hm.com","null","""$34.99""",5,"[""https://image.hm.com/assets/hm/20/9e/209ead0755b62870fb2a935f36cdff46050ce10f.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/44/e9/44e9bc3d80ced8dbcafcc54f1977f6829a20f85c.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/44/e9/44e9bc3d80ced8dbcafcc54f1977f6829a20f85c.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/a9/44/a944d7629d742ae06c6129d36bb36b1116e983c2.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/a9/44/a944d7629d742ae06c6129d36bb36b1116e983c2.jpg?imwidth=2160""]",true,"""$34.99""","https://image.hm.com/assets/hm/20/9e/209ead0755b62870fb2a935f36cdff46050ce10f.jpg?imwidth=2160","H&M","[""https://www2.hm.com/en_us/productpage.1186337001.html""]","null","Cotton-blend Tablecloth",5,"null","H&M","","null","https://www2.hm.com/en_us/productpage.1186337001.html","1186337001","H&M","Tablecloths & Runners","https://www2.hm.com/en_us/home/products/cooking-dining/table-cloth-runners.html"
"[{""name"":""HM.com"",""url"":""https://www2.hm.com/en_us/index.html""},{""name"":""Home"",""url"":""https://www2.hm.com/en_us/home.html""},{""name"":""Interior textiles"",""url"":""https://www2.hm.com/en_us/home/products/textiles.html""},{""name"":""Throw Pillows & Cushions"",""url"":""https://www2.hm.com/en_us/home/products/textiles/pillow.html""},{""name"":""Pillow Covers"",""url"":""https://www2.hm.com/en_us/home/products/textiles/pillow/covers.html""}]","Camel","US","Sweden","USD","Cushion cover in cotton velvet with a concealed zip. You too can help the environment and make fashion more sustainable. Bring unwanted clothes or home textiles to any H&M store and they will be reworn, reused or recycled. Only non-chlorine bleach when needed Machine wash cool Wash with like colors High iron Line dry Can be dry cleaned","[""Furniture, shelving, lighting & area rugs can only be shipped via standard shipping within the continental US. Orders placed using any other method or outside the continental US will be canceled and a refund will be issued. Members with Plus status get free online returns. SHIPPING: Shipping is available to customers at least 13 years of age with a valid US shipping and billing address. H&M HOME furniture, shelving, lighting and area rugs can only be shipped via standard shipping. Orders placed using any other method will be cancelled and a refund will be issued. PAYMENT: We accept card payments via Visa, Apple Pay, MasterCard, Discover and American Express. You can also pay with Klarna's flexible payment options, PayPal and H&M Gift Cards. Learn more on our customer service pages.""]","www2.hm.com","null","""$9.99""",5,"[""https://image.hm.com/assets/hm/bf/95/bf9565d09ee7165f669aea37c2182b4e13784625.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/cb/7f/cb7ffb3a87bdb08e8dc94dc1d8eca9ed8e04dc62.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/cb/7f/cb7ffb3a87bdb08e8dc94dc1d8eca9ed8e04dc62.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/f3/c2/f3c2d0001e254fb7651109413b87545cdf3cf80e.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/f3/c2/f3c2d0001e254fb7651109413b87545cdf3cf80e.jpg?imwidth=2160""]",true,"""$9.99""","https://image.hm.com/assets/hm/bf/95/bf9565d09ee7165f669aea37c2182b4e13784625.jpg?imwidth=2160","H&M","[""https://www2.hm.com/en_us/productpage.0579381116.html""]","null","Cotton Velvet Cushion Cover",4.7,"null","H&M","","null","https://www2.hm.com/en_us/productpage.0579381116.html","0579381116","H&M","Pillow Covers","https://www2.hm.com/en_us/home/products/textiles/pillow/covers.html"
"[{""name"":""HM.com"",""url"":""https://www2.hm.com/en_us/index.html""},{""name"":""Home"",""url"":""https://www2.hm.com/en_us/home.html""},{""name"":""Interior textiles"",""url"":""https://www2.hm.com/en_us/home/products/textiles.html""},{""name"":""Throw Pillows & Cushions"",""url"":""https://www2.hm.com/en_us/home/products/textiles/pillow.html""},{""name"":""Pillow Covers"",""url"":""https://www2.hm.com/en_us/home/products/textiles/pillow/covers.html""}]","Dark gray","US","Sweden","USD","Cushion cover in cotton canvas with a concealed zipper. You too can help the environment and make fashion more sustainable. Bring unwanted clothes or home textiles to any H&M store and they will be reworn, reused or recycled. Tumble dry medium Only non-chlorine bleach when needed Machine wash cool Wash with like colors High iron Can be dry cleaned","[""Furniture, shelving, lighting & area rugs can only be shipped via standard shipping within the continental US. Orders placed using any other method or outside the continental US will be canceled and a refund will be issued. Members with Plus status get free online returns. SHIPPING: Shipping is available to customers at least 13 years of age with a valid US shipping and billing address. H&M HOME furniture, shelving, lighting and area rugs can only be shipped via standard shipping. Orders placed using any other method will be cancelled and a refund will be issued. PAYMENT: We accept card payments via Visa, Apple Pay, MasterCard, Discover and American Express. You can also pay with Klarna's flexible payment options, PayPal and H&M Gift Cards. Learn more on our customer service pages.""]","www2.hm.com","null","""$4.99""",3,"[""https://image.hm.com/assets/hm/c8/86/c886fb67baf26d4d92711a997a515ff69e8f84cc.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/0d/53/0d53065526a88d3f653340cae8e580eb5c1a22eb.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/0d/53/0d53065526a88d3f653340cae8e580eb5c1a22eb.jpg?imwidth=2160""]",true,"""$4.99""","https://image.hm.com/assets/hm/c8/86/c886fb67baf26d4d92711a997a515ff69e8f84cc.jpg?imwidth=2160","H&M","[""https://www2.hm.com/en_us/productpage.1043564002.html""]","null","Cotton Canvas Cushion Cover",4.6,"null","H&M","","null","https://www2.hm.com/en_us/productpage.1043564002.html","1043564002","H&M","Pillow Covers","https://www2.hm.com/en_us/home/products/textiles/pillow/covers.html"
"[{""name"":""HM.com"",""url"":""https://www2.hm.com/en_us/index.html""}]","Khaki green","US","Sweden","USD","Padded seat cushions in woven cotton fabric with tufted knots. Thickness 1 1/2 in. You too can help the environment and make fashion more sustainable. Bring unwanted clothes or home textiles to any H&M store and they will be reworn, reused or recycled. Tumble dry medium Only non-chlorine bleach when needed Medium iron Machine wash cool Can be dry cleaned","[""Furniture, shelving, lighting & area rugs can only be shipped via standard shipping within the continental US. Orders placed using any other method or outside the continental US will be canceled and a refund will be issued. Members with Plus status get free online returns. SHIPPING: Shipping is available to customers at least 13 years of age with a valid US shipping and billing address. H&M HOME furniture, shelving, lighting and area rugs can only be shipped via standard shipping. Orders placed using any other method will be cancelled and a refund will be issued. PAYMENT: We accept card payments via Visa, Apple Pay, MasterCard, Discover and American Express. You can also pay with Klarna's flexible payment options, PayPal and H&M Gift Cards. Learn more on our customer service pages.""]","www2.hm.com","null","""$13.99""",3,"[""https://image.hm.com/assets/hm/c7/3a/c73ac577cd0c7188f44205e0cf34a45598ee089b.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/01/39/0139bcfc5005175724fb2c4704487eb8d206fc55.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/01/39/0139bcfc5005175724fb2c4704487eb8d206fc55.jpg?imwidth=2160""]",true,"""$13.99""","https://image.hm.com/assets/hm/c7/3a/c73ac577cd0c7188f44205e0cf34a45598ee089b.jpg?imwidth=2160","H&M","[""https://www2.hm.com/en_us/productpage.1178516006.html""]","null","2-pack Cotton Seat Cushions",4.6,"null","H&M","","null","https://www2.hm.com/en_us/productpage.1178516006.html","1178516006","H&M","HM.com","https://www2.hm.com/en_us/index.html"
"[{""name"":""HM.com"",""url"":""https://www2.hm.com/en_us/index.html""},{""name"":""Home"",""url"":""https://www2.hm.com/en_us/home.html""},{""name"":""Interior textiles"",""url"":""https://www2.hm.com/en_us/home/products/textiles.html""},{""name"":""Curtains"",""url"":""https://www2.hm.com/en_us/home/products/textiles/curtains.html""}]","Beige","US","Sweden","USD","Two blackout curtain panels in a heavily draped, woven lyocell and linen blend with a melange effect and a slight sheen. Lining to prevent light from shining through. Multiway header for four different hanging options: on a curtain rail with curtain loops, with drapery hooks, with four-prong drapery hooks, or in a modern wave style. Hooks not included. Hemmed. Dark colors generally block out light more effectively than light colors. You too can help the environment and make fashion more sustainable. Bring unwanted clothes or home textiles to any H&M store and they will be reworn, reused or recycled. No dry clean Medium iron Machine wash cool Line dry","[""Furniture, shelving, lighting & area rugs can only be shipped via standard shipping within the continental US. Orders placed using any other method or outside the continental US will be canceled and a refund will be issued. Members with Plus status get free online returns. SHIPPING: Shipping is available to customers at least 13 years of age with a valid US shipping and billing address. H&M HOME furniture, shelving, lighting and area rugs can only be shipped via standard shipping. Orders placed using any other method will be cancelled and a refund will be issued. PAYMENT: We accept card payments via Visa, Apple Pay, MasterCard, Discover and American Express. You can also pay with Klarna's flexible payment options, PayPal and H&M Gift Cards. Learn more on our customer service pages.""]","www2.hm.com","null","""$119.00""",13,"[""https://image.hm.com/assets/hm/a1/ff/a1ff3fde44a9f2d84ae82efad1246ba0ef7d2b81.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/64/f9/64f9970ed144c004b669b57970041a77696eb002.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/64/f9/64f9970ed144c004b669b57970041a77696eb002.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/84/a6/84a6a8c3b77d6a05022cd559d5682944b8597546.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/84/a6/84a6a8c3b77d6a05022cd559d5682944b8597546.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/18/22/18221248f67f1d8aff944dd4a7e636622bd7b0a1.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/18/22/18221248f67f1d8aff944dd4a7e636622bd7b0a1.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/0c/b0/0cb039edf4b90df835d8b81b52e40bdfda98056f.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/0c/b0/0cb039edf4b90df835d8b81b52e40bdfda98056f.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/02/95/029509cdde7f654f9054b14a8b5768d90239f0ee.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/02/95/029509cdde7f654f9054b14a8b5768d90239f0ee.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/8a/18/8a18942ffe729d16ba3b6fb0775b12f0f30f3738.jpg?imwidth=2160"",""https://image.hm.com/assets/hm/8a/18/8a18942ffe729d16ba3b6fb0775b12f0f30f3738.jpg?imwidth=2160""]",true,"""$119.00""","https://image.hm.com/assets/hm/a1/ff/a1ff3fde44a9f2d84ae82efad1246ba0ef7d2b81.jpg?imwidth=2160","H&M","[""https://www2.hm.com/en_us/productpage.1238921001.html""]","null","2-pack Blackout Lyocell-Blend Curtains",3,"null","H&M","","null","https://www2.hm.com/en_us/productpage.1238921001.html","1238921001","H&M","Curtains","https://www2.hm.com/en_us/home/products/textiles/curtains.html"
